"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","27115","visit tata steel ltd","","Wed Oct 08 19:01:38 IST 2025","failed","Wed Oct 08 19:02:06 IST 2025","","stock purchase","",""
"","23104","registration","","Wed Oct 08 18:59:16 IST 2025","failed","Wed Oct 08 18:59:39 IST 2025","","Automation Exercise","",""
"","34725","Verify All Products and product detail page","","Wed Oct 08 19:00:52 IST 2025","passed","Wed Oct 08 19:01:27 IST 2025","","Automation Exercise","",""
"","25968","contact Us page","","Wed Oct 08 19:00:26 IST 2025","passed","Wed Oct 08 19:00:52 IST 2025","","Automation Exercise","",""
"","4178","elements","","Wed Oct 08 18:58:12 IST 2025","passed","Wed Oct 08 18:58:16 IST 2025","","Tutorial Point","",""
"","19800","login","","Wed Oct 08 19:02:19 IST 2025","failed","Wed Oct 08 19:02:39 IST 2025","","flipkart","",""
"","8279","user should be able to login using valid credentials","","Wed Oct 08 19:02:51 IST 2025","passed","Wed Oct 08 19:02:59 IST 2025","","orange hrm login Feature","",""
"","29081","search functionality","","Wed Oct 08 18:58:29 IST 2025","failed","Wed Oct 08 18:58:58 IST 2025","","Amazon","",""
"","28056","login user with correct email and password","","Wed Oct 08 18:59:40 IST 2025","passed","Wed Oct 08 19:00:08 IST 2025","","Automation Exercise","",""
"","5326","add to cart","","Wed Oct 08 19:03:53 IST 2025","passed","Wed Oct 08 19:03:58 IST 2025","","Add to cart dmo","",""
"","17750","login with invalide credentials","","Wed Oct 08 19:00:08 IST 2025","failed","Wed Oct 08 19:00:26 IST 2025","","Automation Exercise","",""
"","7839","home page","","Wed Oct 08 19:03:34 IST 2025","passed","Wed Oct 08 19:03:42 IST 2025","","newtours validation","",""
